Datetime,hour,day,Energy
2025-01-01 00:00:00,0,2,21.323088774893222
2025-01-01 01:00:00,1,2,18.18561976944187
2025-01-01 02:00:00,2,2,22.114589057866965
2025-01-01 03:00:00,3,2,24.1847150996264
2025-01-01 04:00:00,4,2,26.782528361624337
2025-01-01 05:00:00,5,2,34.70696231808005
2025-01-01 06:00:00,6,2,30.113049652049927
2025-01-01 07:00:00,7,2,32.95003525954484
2025-01-01 08:00:00,8,2,33.930476340577385
2025-01-01 09:00:00,9,2,31.206832418460593
2025-01-01 10:00:00,10,2,35.90467759040231
2025-01-01 11:00:00,11,2,41.00687669448153
2025-01-01 12:00:00,12,2,40.463769570490506
2025-01-01 13:00:00,13,2,36.59012517402114
2025-01-01 14:00:00,14,2,33.476956151438436
2025-01-01 15:00:00,15,2,39.65850987263243
2025-01-01 16:00:00,16,2,39.917105012232874
2025-01-01 17:00:00,17,2,46.834562521664196
2025-01-01 18:00:00,18,2,46.539479857808224
2025-01-01 19:00:00,19,2,46.81978352717538
2025-01-01 20:00:00,20,2,45.06801296005234
2025-01-01 21:00:00,21,2,46.66170846016021
2025-01-01 22:00:00,22,2,54.46934430176734
2025-01-01 23:00:00,23,2,54.17761903204034
2025-01-02 00:00:00,0,3,17.924118679428968
2025-01-02 01:00:00,1,3,19.386169308794674
2025-01-02 02:00:00,2,3,23.823939917765458
2025-01-02 03:00:00,3,3,22.421161245255774
2025-01-02 04:00:00,4,3,25.66976220163785
2025-01-02 05:00:00,5,3,25.016572943083812
2025-01-02 06:00:00,6,3,30.57706218458795
2025-01-02 07:00:00,7,3,29.585992591617984
2025-01-02 08:00:00,8,3,26.71285547623069
2025-01-02 09:00:00,9,3,26.32992540985908
2025-01-02 10:00:00,10,3,33.41433747902053
2025-01-02 11:00:00,11,3,31.66901472648149
2025-01-02 12:00:00,12,3,36.50206801329214
2025-01-02 13:00:00,13,3,35.39447743149444
2025-01-02 14:00:00,14,3,38.41410160203194
2025-01-02 15:00:00,15,3,39.762723673412054
2025-01-02 16:00:00,16,3,42.334895560657394
2025-01-02 17:00:00,17,3,47.02976599048762
2025-01-02 18:00:00,18,3,51.21617314558162
2025-01-02 19:00:00,19,3,48.22464890245962
2025-01-02 20:00:00,20,3,50.0113003186639
2025-01-02 21:00:00,21,3,46.900578428150496
2025-01-02 22:00:00,22,3,49.3861845199078
2025-01-02 23:00:00,23,3,50.85330597009938
2025-01-03 00:00:00,0,4,20.377920983324508
2025-01-03 01:00:00,1,4,19.641242492998348
2025-01-03 02:00:00,2,4,21.40784057171774
2025-01-03 03:00:00,3,4,24.835346524035202
2025-01-03 04:00:00,4,4,25.12610305089534
2025-01-03 05:00:00,5,4,25.612457002436805
2025-01-03 06:00:00,6,4,25.131824772140806
2025-01-03 07:00:00,7,4,26.30415174731797
2025-01-03 08:00:00,8,4,32.71007072729634
2025-01-03 09:00:00,9,4,31.45109112010262
2025-01-03 10:00:00,10,4,32.24179831936526
2025-01-03 11:00:00,11,4,33.865078229061396
2025-01-03 12:00:00,12,4,36.779887658933205
2025-01-03 13:00:00,13,4,30.5125886442465
2025-01-03 14:00:00,14,4,39.05349116605522
2025-01-03 15:00:00,15,4,43.20027456689232
2025-01-03 16:00:00,16,4,39.228880417224225
2025-01-03 17:00:00,17,4,46.12916640302191
2025-01-03 18:00:00,18,4,43.482239349272525
2025-01-03 19:00:00,19,4,48.555776853200214
2025-01-03 20:00:00,20,4,44.683106632443526
2025-01-03 21:00:00,21,4,47.134797539182195
2025-01-03 22:00:00,22,4,49.5811089477849
2025-01-03 23:00:00,23,4,52.82277871639922
2025-01-04 00:00:00,0,5,20.449388155385947
2025-01-04 01:00:00,1,5,14.981276369022753
2025-01-04 02:00:00,2,5,19.17199680846551
2025-01-04 03:00:00,3,5,17.055537665420182
2025-01-04 04:00:00,4,5,20.34721816434835
2025-01-04 05:00:00,5,5,25.934366144444127
2025-01-04 06:00:00,6,5,24.049751422523016
2025-01-04 07:00:00,7,5,27.03292159614296
2025-01-04 08:00:00,8,5,31.75634027714534
2025-01-04 09:00:00,9,5,29.750416788271615
2025-01-04 10:00:00,10,5,28.98726516941825
2025-01-04 11:00:00,11,5,30.26962063679141
2025-01-04 12:00:00,12,5,36.28836219697546
2025-01-04 13:00:00,13,5,39.104233165672525
2025-01-04 14:00:00,14,5,39.864752412257324
2025-01-04 15:00:00,15,5,40.384896277872976
2025-01-04 16:00:00,16,5,34.82821560255653
2025-01-04 17:00:00,17,5,46.64257837677042
2025-01-04 18:00:00,18,5,45.073423095530295
2025-01-04 19:00:00,19,5,41.29238451807426
2025-01-04 20:00:00,20,5,44.99283084998376
2025-01-04 21:00:00,21,5,48.10249761238617
2025-01-04 22:00:00,22,5,47.88258540839565
2025-01-04 23:00:00,23,5,45.841079095669315
2025-01-05 00:00:00,0,6,20.184616363117343
2025-01-05 01:00:00,1,6,18.31768208047034
2025-01-05 02:00:00,2,6,23.65184933879233
2025-01-05 03:00:00,3,6,18.58448513396192
2025-01-05 04:00:00,4,6,22.864213660625218
2025-01-05 05:00:00,5,6,24.291294440902472
2025-01-05 06:00:00,6,6,29.482643437162785
2025-01-05 07:00:00,7,6,32.10891582952256
2025-01-05 08:00:00,8,6,28.231424565482676
2025-01-05 09:00:00,9,6,27.56740170311586
2025-01-05 10:00:00,10,6,32.22860706078468
2025-01-05 11:00:00,11,6,35.084080433373174
2025-01-05 12:00:00,12,6,35.992031397351
2025-01-05 13:00:00,13,6,32.92804796275936
2025-01-05 14:00:00,14,6,33.60582197062493
2025-01-05 15:00:00,15,6,34.800007894994856
2025-01-05 16:00:00,16,6,35.19175246056808
2025-01-05 17:00:00,17,6,35.175951646935516
2025-01-05 18:00:00,18,6,40.46548215481818
2025-01-05 19:00:00,19,6,43.351499786330706
2025-01-05 20:00:00,20,6,42.21585455166218
2025-01-05 21:00:00,21,6,46.62895643229886
2025-01-05 22:00:00,22,6,49.58968386409611
2025-01-05 23:00:00,23,6,48.49051098742651
2025-01-06 00:00:00,0,0,21.717667602362503
2025-01-06 01:00:00,1,0,25.860657602113715
2025-01-06 02:00:00,2,0,25.358683136770104
2025-01-06 03:00:00,3,0,23.635549932501362
2025-01-06 04:00:00,4,0,28.70776987409283
2025-01-06 05:00:00,5,0,28.603175992890257
2025-01-06 06:00:00,6,0,30.423682231624344
2025-01-06 07:00:00,7,0,32.343003020265996
2025-01-06 08:00:00,8,0,32.402722440289125
2025-01-06 09:00:00,9,0,35.496379555052485
2025-01-06 10:00:00,10,0,33.87373918471573
2025-01-06 11:00:00,11,0,36.53715683129224
2025-01-06 12:00:00,12,0,36.176529741598685
2025-01-06 13:00:00,13,0,39.50515672527564
2025-01-06 14:00:00,14,0,44.074389165628745
2025-01-06 15:00:00,15,0,42.791903500598885
2025-01-06 16:00:00,16,0,44.65669115274418
2025-01-06 17:00:00,17,0,47.039283631908994
2025-01-06 18:00:00,18,0,50.3654892750955
2025-01-06 19:00:00,19,0,48.85862481231222
2025-01-06 20:00:00,20,0,47.314955305460686
